date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:17:33	29955/29955	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:17:32%20GMT	https://tecate.com/as-disfrutamos-el-tecate-sonoro	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/as-disfrutamos-el-tecate-sonoro.html	(from https://tecate.com/)
13:17:34	29864/29864	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:17:34%20GMT	https://tecate.com/revive-el-tecate-pennsula	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/revive-el-tecate-pennsula.html	(from https://tecate.com/)
13:17:35	788008/788008	---M--	200	added ('OK')	application/octet-stream	etag:0x8D767A069D931F2	https://sttecatesite.blob.core.windows.net/site2019/132180578957074286_tecate-sonoro-somos-musica.jpg	C:/Users/Quantumsys/Downloads/httrack/tecate3/sttecatesite.blob.core.windows.net/site2019/132180578957074286_tecate-sonoro-somos-musica.jpg	(from https://tecate.com/)
13:17:36	29982/29982	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:17:35%20GMT	https://tecate.com/revive-un-poco-del-tecate-live-out	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/revive-un-poco-del-tecate-live-out.html	(from https://tecate.com/)
13:17:37	1360123/1360123	---M--	200	added ('OK')	application/octet-stream	etag:0x8D75C961AC2033C	https://sttecatesite.blob.core.windows.net/site2019/132168440051721547_tecate%20site%20peninsula%202.png	C:/Users/Quantumsys/Downloads/httrack/tecate3/sttecatesite.blob.core.windows.net/site2019/132168440051721547_tecate%20site%20peninsula%202.png	(from https://tecate.com/)
13:17:38	29913/29913	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:17:38%20GMT	https://tecate.com/revive-con-nosotros-el-tecate-coordenada	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/revive-con-nosotros-el-tecate-coordenada.html	(from https://tecate.com/)
13:17:39	1453840/1453840	---M--	200	added ('OK')	application/octet-stream	etag:0x8D75887F93A219B	https://sttecatesite.blob.core.windows.net/site2019/132163981319204111_191021_Teacate_LiveOut_Reecap_TN_1500-550[1].png	C:/Users/Quantumsys/Downloads/httrack/tecate3/sttecatesite.blob.core.windows.net/site2019/132163981319204111_191021_Teacate_LiveOut_Reecap_TN_1500-550[1].png	(from https://tecate.com/)
13:17:39	212555/212555	---M--	200	added ('OK')	application/octet-stream	etag:0x8D7573EE548AA9C	https://sttecatesite.blob.core.windows.net/site2019/132162567936063140_200619_TECATE_COORDENADA_1300x550_v1.jpg	C:/Users/Quantumsys/Downloads/httrack/tecate3/sttecatesite.blob.core.windows.net/site2019/132162567936063140_200619_TECATE_COORDENADA_1300x550_v1.jpg	(from https://tecate.com/)
13:17:40	29957/29957	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:17:39%20GMT	https://tecate.com/as-se-vivi-el-tecate-repblica	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/as-se-vivi-el-tecate-repblica.html	(from https://tecate.com/)
13:17:41	476348/476348	---M--	200	added ('OK')	application/octet-stream	etag:0x8D7573A971A2E19	https://sttecatesite.blob.core.windows.net/site2019/132162549444680026_Tecate_Republica_ThumbSitio_1500x550.jpg	C:/Users/Quantumsys/Downloads/httrack/tecate3/sttecatesite.blob.core.windows.net/site2019/132162549444680026_Tecate_Republica_ThumbSitio_1500x550.jpg	(from https://tecate.com/)
13:17:41	29817/29817	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:17:40%20GMT	https://tecate.com/tecate-arcadia-2019	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/tecate-arcadia-2019.html	(from https://tecate.com/)
13:17:44	30256/30256	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:17:42%20GMT	https://tecate.com/cafe-tacvba-unplugged	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/cafe-tacvba-unplugged.html	(from https://tecate.com/)
13:17:44	644056/644056	---M--	200	added ('OK')	application/octet-stream	etag:0x8D750D0AA45D331	https://sttecatesite.blob.core.windows.net/site2019/132155497429349705_TECATEARCADIA.png	C:/Users/Quantumsys/Downloads/httrack/tecate3/sttecatesite.blob.core.windows.net/site2019/132155497429349705_TECATEARCADIA.png	(from https://tecate.com/)
13:17:45	91600/91600	---M--	200	added ('OK')	application/octet-stream	etag:0x8D7435B61980E59	https://sttecatesite.blob.core.windows.net/site2019/132140700052751530_200619_TECATE_TACUBA_1300x550_v1b.jpg	C:/Users/Quantumsys/Downloads/httrack/tecate3/sttecatesite.blob.core.windows.net/site2019/132140700052751530_200619_TECATE_TACUBA_1300x550_v1b.jpg	(from https://tecate.com/)
